,apple,positive,126415614616154112
0,apple,positive,126404574230740992
1,apple,positive,126402758403305474
2,apple,positive,126397179614068736
3,apple,positive,126395626979196928
4,apple,positive,126394830791254016
5,apple,positive,126379685453119488
6,apple,positive,126377656416612353
7,apple,positive,126373779483004928
8,apple,positive,126366353757179904
9,apple,positive,126366123368267776
10,apple,positive,126365858481188864
11,apple,positive,126360935509135362
12,apple,positive,126360398885687296
13,apple,positive,126358340220616704
14,apple,positive,126357982685569024
15,apple,positive,126354605130002432
16,apple,positive,126352268705538048
17,apple,positive,126350948548354048
18,apple,positive,126350302113824769
19,apple,positive,126349695676203009
20,apple,positive,126344048637259776
21,apple,positive,126342268603998208
22,apple,positive,126325800080392193
23,apple,positive,126324177501302784
24,apple,positive,126323785145126912
25,apple,positive,126322063332999169
26,apple,positive,126319186141130752
27,apple,positive,126318009647235072
28,apple,positive,126315223060709376
29,apple,positive,126315011600678913
30,apple,positive,126314687116750849
31,apple,positive,126312877916307458
32,apple,positive,126311981564178432
33,apple,positive,126307801046847488
34,apple,positive,126302673820594176
35,apple,positive,126301956951117826
36,apple,positive,126287654093471745
37,apple,positive,126284506360578049
38,apple,positive,126267185025916928
39,apple,positive,126263834968211456
40,apple,positive,126256230397259776
41,apple,positive,126213333123743744
42,apple,positive,126195522691280896
43,apple,positive,126183339945234432
44,apple,positive,126180209501286400
45,apple,positive,126164430546403328
46,apple,positive,126148685737361408
47,apple,positive,126140794078892033
48,apple,positive,126134400466419712
49,apple,positive,126130991365500928
50,apple,positive,126116898051076096
51,apple,positive,126116614495154176
52,apple,positive,126112836219973632
53,apple,positive,126107965991297024
54,apple,positive,126104732426186752
55,apple,positive,126097426493878272
56,apple,positive,126095744531832832
57,apple,positive,126093298619252737
58,apple,positive,126084907343691776
59,apple,positive,126079414986485761
60,apple,positive,126076743613284354
61,apple,positive,126076238375817216
62,apple,positive,126075534894571520
63,apple,positive,126064519943426048
64,apple,positive,126063569660936193
65,apple,positive,126063358037340161
66,apple,positive,126059405941809152
67,apple,positive,126059399319003136
68,apple,positive,126057030996852737
69,apple,positive,126049183865114624
70,apple,positive,126040352237961217
71,apple,positive,126040074595999746
72,apple,positive,126039929523404801
73,apple,positive,126034495991328768
74,apple,positive,126026756623831041
75,apple,positive,126019393460244481
76,apple,positive,126015087386431488
77,apple,positive,126009748020658177
78,apple,positive,126008369562652672
79,apple,positive,126002597063696384
80,apple,positive,125999676972470272
81,apple,positive,125995158679461888
82,apple,positive,125979338846900224
83,apple,positive,125978568726560768
84,apple,positive,125978473712979969
85,apple,positive,125974505385500672
86,apple,positive,125960325437722624
87,apple,positive,125959059957485569
88,apple,positive,125954443643588608
89,apple,positive,125947912306954240
90,apple,positive,125947232359948288
91,apple,positive,125943290288803841
92,apple,positive,125940394566483968
93,apple,positive,125932869389524992
94,apple,positive,125930171562852353
95,apple,positive,125925618486489088
96,apple,positive,125924446430183425
97,apple,positive,125922999651139584
98,apple,positive,125910633731461120
99,apple,positive,125909565031198720
100,apple,positive,125907732388790272
101,apple,positive,125902301931126785
102,apple,positive,125901202591461376
103,apple,positive,125900497327636480
104,apple,positive,125898611572740097
105,apple,positive,125850288488841217
106,apple,positive,125840039031738368
107,apple,positive,125816853867151360
108,apple,positive,125794931439702016
109,apple,positive,125728717942161408
110,apple,positive,125727629012770816
111,apple,positive,125722746100531200
112,apple,positive,125717622728818688
113,apple,positive,125714253452812288
114,apple,positive,125713935344214016
115,apple,positive,125712433087123456
116,apple,positive,125708639607599104
117,apple,positive,125706813583798274
118,apple,positive,125701161926930433
119,apple,positive,125699573799845888
120,apple,positive,125688922410975232
121,apple,positive,125685656415510528
122,apple,positive,125681742760771584
123,apple,positive,125680049478316032
124,apple,positive,125677424565424128
125,apple,positive,125673004511412224
126,apple,positive,125667241978114048
127,apple,positive,125665606853861376
128,apple,positive,125664375364255744
129,apple,positive,125662399217930240
130,apple,positive,125652668080336896
131,apple,positive,125648027045199873
132,apple,positive,125645258003464192
133,apple,positive,125643107260829697
134,apple,positive,125633677597229056
135,apple,positive,125633065757310976
136,apple,positive,125628199269961729
137,apple,positive,125623745284018176
138,apple,positive,125618466353983488
139,apple,positive,125616280215617537
140,apple,positive,125610372727193601
141,apple,positive,125608381431025664
142,apple,positive,125596541028282369
143,apple,positive,125595292304281601
144,apple,positive,125585606100267008
145,apple,positive,125562428200202240
146,apple,positive,125561950376701952
147,apple,positive,125550135911518209
148,apple,positive,125547297072357376
149,apple,positive,125539788546781185
150,apple,positive,125537993942515712
151,apple,positive,125537578974851072
152,apple,positive,125536884813336576
153,apple,positive,125533599737978882
154,apple,positive,125524107386302465
155,apple,positive,125523414298533888
156,apple,positive,125501576952553472
157,apple,positive,125501281753251840
158,apple,positive,125495491701125120
159,apple,positive,125459338524499969
160,apple,positive,125458901192810496
161,apple,positive,125455260801179648
162,apple,positive,125445056218923008
163,apple,positive,125423290767507456
164,apple,positive,125422502284505088
165,apple,positive,125416879035658240
166,apple,positive,125407532893224962
167,apple,positive,125402636764712960
168,apple,positive,125402412147146752
169,apple,positive,125393816470568961
170,apple,positive,125374540107886593
171,apple,positive,125356807626559488
172,apple,positive,125343429289984000
173,apple,positive,125338216411828224
174,apple,positive,125333598197911552
175,apple,positive,125330595302744064
176,apple,positive,125319163366473728
177,apple,positive,125313088160411649
178,apple,positive,125309946723188736
179,apple,positive,125281706327552001
180,apple,positive,125279987254300672
181,apple,positive,125279447669669888
182,apple,positive,125264731035537409
183,apple,positive,125256305647693825
184,apple,positive,125252188065902592
185,apple,positive,125251672896323584
186,apple,positive,125243911538098176
187,apple,positive,125238977417580544
188,apple,positive,125238017299451905
189,apple,positive,125165176772247552
190,apple,negative,126418790706712576
191,apple,negative,126417285559762944
192,apple,negative,126416915664084992
193,apple,negative,126416109212680192
194,apple,negative,126411162622496768
195,apple,negative,126410591949697024
196,apple,negative,126409696553861121
197,apple,negative,126408864387182593
198,apple,negative,126408052525105153
199,apple,negative,126407767132078082
200,apple,negative,126405405667627008
201,apple,negative,126405185630253056
202,apple,negative,126405040809312256
203,apple,negative,126400637930979329
204,apple,negative,126394680903614465
205,apple,negative,126393717421645825
206,apple,negative,126393204550537216
207,apple,negative,126392402083708928
208,apple,negative,126391082308206593
209,apple,negative,126389218284015616
210,apple,negative,126388194194362369
211,apple,negative,126388023725268992
212,apple,negative,126385036441296896
213,apple,negative,126382959711358976
214,apple,negative,126382051661328385
215,apple,negative,126381519513194497
216,apple,negative,126380588822298625
217,apple,negative,126380553464315904
218,apple,negative,126377298650861568
219,apple,negative,126375381249966080
220,apple,negative,126372694118768640
221,apple,negative,126372040696541184
222,apple,negative,126363154837020672
223,apple,negative,126361483432038400
224,apple,negative,126358781633368064
225,apple,negative,126358301393956866
226,apple,negative,126358272084152320
227,apple,negative,126357580741226496
228,apple,negative,126357227727626240
229,apple,negative,126354628999778305
230,apple,negative,126351972948393984
231,apple,negative,126348169826148352
232,apple,negative,126344426854416385
233,apple,negative,126343931117047808
234,apple,negative,126343679785959424
235,apple,negative,126343214805426176
236,apple,negative,126334597431697408
237,apple,negative,126334188583530496
238,apple,negative,126331480233353216
239,apple,negative,126331327271284736
240,apple,negative,126328782700285952
241,apple,negative,126327808803880960
242,apple,negative,126325125749542913
243,apple,negative,126324573384871936
244,apple,negative,126324389741473792
245,apple,negative,126324077513293824
246,apple,negative,126321169468100609
247,apple,negative,126320033369563138
248,apple,negative,126312535203921920
249,apple,negative,126311879218966529
250,apple,negative,126310645443461121
251,apple,negative,126309616391950336
252,apple,negative,126308005779210241
253,apple,negative,126307071984545793
254,apple,negative,126304942049853441
255,apple,negative,126302386644975616
256,apple,negative,126299379832336384
257,apple,negative,126297326565330944
258,apple,negative,126297241190281216
259,apple,negative,126295434862936064
260,apple,negative,126292335540699136
261,apple,negative,126286814578348032
262,apple,negative,126283602571964416
263,apple,negative,126282994821509120
264,apple,negative,126281019476291585
265,apple,negative,126280555980529664
266,apple,negative,126279811151831042
267,apple,negative,126270073420791810
268,apple,negative,126264313563459585
269,apple,negative,126258214412091392
270,apple,negative,126257645282799616
271,apple,negative,126251052667375616
272,apple,negative,126247557339947008
273,apple,negative,126243680129523712
274,apple,negative,126240605419487232
275,apple,negative,126239832895795200
276,apple,negative,126238223537152001
277,apple,negative,126221894126022656
278,apple,negative,126189036644728832
279,apple,negative,126188946974720000
280,apple,negative,126188717902802944
281,apple,negative,126188686453907457
282,apple,negative,126182880123695104
283,apple,negative,126167083334643713
284,apple,negative,126163315499081728
285,apple,negative,126163250172801024
286,apple,negative,126158846375903233
287,apple,negative,126156590662422528
288,apple,negative,126155291288023040
289,apple,negative,126153311521996800
290,apple,negative,126150581558591488
291,apple,negative,126148955217203200
292,apple,negative,126148565302128640
293,apple,negative,126143926523539457
294,apple,negative,126141380409036800
295,apple,negative,126141077131497472
296,apple,negative,126140389873827841
297,apple,negative,126132919117938689
298,apple,negative,126131535211536384
299,apple,negative,126129938247061504
300,apple,negative,126129582326816769
301,apple,negative,126128599030956032
302,apple,negative,126127465155403777
303,apple,negative,126126605344047105
304,apple,negative,126121175926571009
305,apple,negative,126118222746497025
306,apple,negative,126106964420857857
307,apple,negative,126099775417364480
308,apple,negative,126096173198082048
309,apple,negative,126094194312876032
310,apple,negative,126089287660863488
311,apple,negative,126088404084588546
312,apple,negative,126085893353250816
313,apple,negative,126084068298334208
314,apple,negative,126082198720888833
315,apple,negative,126082123743502336
316,apple,negative,126079672386723840
317,apple,negative,126075115686465536
318,apple,negative,126073788323479552
319,apple,negative,126073520504569858
320,apple,negative,126072901144281088
321,apple,negative,126070647125327872
322,apple,negative,126069614181486593
323,apple,negative,126068917012668416
324,apple,negative,126063215842037760
325,apple,negative,126060639268507649
326,apple,negative,126054048972537856
327,apple,negative,126053722966069248
328,apple,negative,126050114518261760
329,apple,negative,126044756320075776
330,apple,negative,126044425964109824
331,apple,negative,126042137740574720
332,apple,negative,126042022900547584
333,apple,negative,126037831301869568
334,apple,negative,126036793970786304
335,apple,negative,126034507475337216
336,apple,negative,126033747991736320
337,apple,negative,126031969166434304
338,apple,negative,126030936084189184
339,apple,negative,126029733325582336
340,apple,negative,126021108641181696
341,apple,negative,126018120983904256
342,apple,negative,126016585348558848
343,apple,negative,126014999444467712
344,apple,negative,126014540721827840
345,apple,negative,126012822936231936
346,apple,negative,126012404332113920
347,apple,negative,126012089415380992
348,apple,negative,126008913400303616
349,apple,negative,126006966312108032
350,apple,negative,126006116168642560
351,apple,negative,126006088725303296
352,apple,negative,126004661248471040
353,apple,negative,126003967552524288
354,apple,negative,126001775626031105
355,apple,negative,126001635162992640
356,apple,negative,125999655011098624
357,apple,negative,125996379913986048
358,apple,negative,125995264325599233
359,apple,negative,125994965183635456
360,apple,negative,125994596336533504
361,apple,negative,125989051101741056
362,apple,negative,125988395787882497
363,apple,negative,125987979784224770
364,apple,negative,125987439692099584
365,apple,negative,125982320917364736
366,apple,negative,125980659415138304
367,apple,negative,125978454146551808
368,apple,negative,125976113657823232
369,apple,negative,125974886006005760
370,apple,negative,125974810021998595
371,apple,negative,125974351035117568
372,apple,negative,125973390283653120
373,apple,negative,125969932285513728
374,apple,negative,125969502587465729
375,apple,negative,125966385259098112
376,apple,negative,125965988146585601
377,apple,negative,125965853769478144
378,apple,negative,125964314220830722
379,apple,negative,125963262733991936
380,apple,negative,125961999791308800
381,apple,negative,125961793926475776
382,apple,negative,125960026891362304
383,apple,negative,125958961269702656
384,apple,negative,125958368773943296
385,apple,negative,125956505768960000
386,apple,negative,125956403574747137
387,apple,negative,125956319344721920
388,apple,negative,125954651152592896
389,apple,negative,125953600861126656
390,apple,negative,125950557310562305
391,apple,negative,125945821240885248
392,apple,negative,125943204943114240
393,apple,negative,125937228328341504
394,apple,negative,125934808592433153
395,apple,negative,125930406125117440
396,apple,negative,125929899071516676
397,apple,negative,125929395264299009
398,apple,negative,125920912171216896
399,apple,negative,125876542600519681
400,apple,negative,125863232249405440
401,apple,negative,125846659182764032
402,apple,negative,125845538926112768
403,apple,negative,125836461936361472
404,apple,negative,125826259048607744
405,apple,negative,125824148579692544
406,apple,negative,125824054958637056
407,apple,negative,125822115155947520
408,apple,negative,125819194049699840
409,apple,negative,125815370513793024
410,apple,negative,125814380871946240
411,apple,negative,125812985301172224
412,apple,negative,125811345064067072
413,apple,negative,125807830363156480
414,apple,negative,125806568389361664
415,apple,negative,125806240138928128
416,apple,negative,125799384976863232
417,apple,negative,125794882257305600
418,apple,negative,125794703819030528
419,apple,negative,125731810733867011
420,apple,negative,125729727653756928
421,apple,negative,125728250579259392
422,apple,negative,125722610179907584
423,apple,negative,125722107710672896
424,apple,negative,125717447276904448
425,apple,negative,125717161531551744
426,apple,negative,125713100782575616
427,apple,negative,125712104253702146
428,apple,negative,125711996074209280
429,apple,negative,125710089716899840
430,apple,negative,125708348237680640
431,apple,negative,125706246056706049
432,apple,negative,125701785540235264
433,apple,negative,125694815743651840
434,apple,negative,125692685033021441
435,apple,negative,125692532750430209
436,apple,negative,125691072398639104
437,apple,negative,125689691927351296
438,apple,negative,125681375058735104
439,apple,negative,125681125376000000
440,apple,negative,125679166015283203
441,apple,negative,125675806977556480
442,apple,negative,125673358418391041
443,apple,negative,125665094561574913
444,apple,negative,125664507757461504
445,apple,negative,125663477573500930
446,apple,negative,125661140939321344
447,apple,negative,125659125886623744
448,apple,negative,125657359841361920
449,apple,negative,125656618326175745
450,apple,negative,125656559190683651
451,apple,negative,125654540455378945
452,apple,negative,125651769261965312
453,apple,negative,125649285667749889
454,apple,negative,125645811903250432
455,apple,negative,125643054190305280
456,apple,negative,125642742977138689
457,apple,negative,125641051531784192
458,apple,negative,125639217090011136
459,apple,negative,125633065878958080
460,apple,negative,125631239364427776
461,apple,negative,125626166492147713
462,apple,negative,125621144148639744
463,apple,negative,125619303356710912
464,apple,negative,125607492356018176
465,apple,negative,125603435440644098
466,apple,negative,125601235985367041
467,apple,negative,125599423131697154
468,apple,negative,125598450090917888
469,apple,negative,125588697872728065
470,apple,negative,125588202286366721
471,apple,negative,125586348064247808
472,apple,negative,125583385895768064
473,apple,negative,125578269197217792
474,apple,negative,125561930416013312
475,apple,negative,125556679571025920
476,apple,negative,125547255947198465
477,apple,negative,125544764203466752
478,apple,negative,125533730222784512
479,apple,negative,125521682894041088
480,apple,negative,125510333078048768
481,apple,negative,125476730067615744
482,apple,negative,125475953509015552
483,apple,negative,125471372485992448
484,apple,negative,125464229577891840
485,apple,negative,125458395800154112
486,apple,negative,125442137302110208
487,apple,negative,125441732941840385
488,apple,negative,125441478951575552
489,apple,negative,125435218017525760
490,apple,negative,125420263687995392
491,apple,negative,125408962215555072
492,apple,negative,125408737296003072
493,apple,negative,125408701166256128
494,apple,negative,125407447383937025
495,apple,negative,125406743923671040
496,apple,negative,125405260650000384
497,apple,negative,125405005493706752
498,apple,negative,125404317669785600
499,apple,negative,125400161886277632
500,apple,negative,125399780527570944
501,apple,negative,125395636219678720
502,apple,negative,125394863255588864
503,apple,negative,125394746452619265
504,apple,negative,125394663573172224
505,apple,negative,125380163302199296
506,apple,negative,125371779039502336
507,apple,negative,125369698840887297
508,apple,negative,125368089159286784
509,apple,negative,125365852487942145
510,apple,negative,125365814579826688
511,apple,negative,125365581170999296
512,apple,negative,125355869859876864
513,apple,negative,125355139409252352
514,apple,negative,125347619072512000
515,apple,negative,125346783390990337
516,apple,negative,125341902739484672
517,apple,negative,125341804857008128
518,apple,negative,125338210158125056
519,apple,negative,125336335656558592
520,apple,negative,125334948017213441
521,apple,negative,125334519254482944
522,apple,negative,125333948556521472
523,apple,negative,125330337847975937
524,apple,negative,125330038248849408
525,apple,negative,125329867674886144
526,apple,negative,125327896066785280
527,apple,negative,125313086465904641
528,apple,negative,125311989751877632
529,apple,negative,125309975881977857
530,apple,negative,125309448108519424
531,apple,negative,125309427422203904
532,apple,negative,125307394640199680
533,apple,negative,125305396842856448
534,apple,negative,125304159581900800
535,apple,negative,125303217214062592
536,apple,negative,125302079752384512
537,apple,negative,125301860256063488
538,apple,negative,125301393560047616
539,apple,negative,125301265700892672
540,apple,negative,125295729139908608
541,apple,negative,125294978623746048
542,apple,negative,125277260872822786
543,apple,negative,125276004817190914
